Event,Zone,Region,Category,Start Date,End Date,Year,Insured Cost,NSW,VIC,QLD,ACT,TAS,SA,NT,WA,Waters
"Flood - Toowoomba, Miles, Cairns, and Townsville",Queensland,Roma,Flood,1927-02-10,1927-02-17,1927,700000.0,0,0,1,0,0,0,0,0,0
"Flood - Toowoomba, Miles, Cairns, and Townsville",Queensland,Townsville,Flood,1927-02-10,1927-02-17,1927,700000.0,0,0,1,0,0,0,0,0,0
"Flood - Toowoomba, Miles, Cairns, and Townsville",Queensland,Cairns,Flood,1927-02-09,1927-02-16,1927,700000.0,0,0,1,0,0,0,0,0,0
Flood - Hughenden,Queensland,Hughenden,Flood,1917-01-01,1917-01-10,1917,700000.0,0,0,1,0,0,0,0,0,0
Flood - Clermont and Peak Downs,Queensland,Clermont,Flood,1916-12-27,1916-12-27,1916,700000.0,0,0,1,0,0,0,0,0,0
Bolwara Flood,New South Wales,Bolwarra,Flood,1857-07-15,1857-07-31,1857,700000.0,1,0,0,0,0,0,0,0,0
Flood - Melbourne and Victoria ,Victoria,Melbourne,Flood,1934-11-29,1934-12-01,1934,700000.0,0,1,0,0,0,0,0,0,0
"Flood - Flooding, New South Wales",New South Wales,Northern Rivers,Flood,2022-02-22,,2022,230000000.0,1,0,0,0,0,0,0,0,0
Flood - Rainfall and Flooding,Queensland,South East Queensland,Flood,2022-02-22,2022-03-07,2022,230000000.0,0,0,1,0,0,0,0,0,0
Flood - Severe Flooding from (ex) Tropical Cyclone Tiffany ,South Australia,South Australia,Flood,2022-01-21,2022-02-03,2022,176000000.0,0,0,0,0,0,1,0,0,0
Flood - Geelong,Victoria,Geelong,Flood,2015-01-27,2015-01-27,2015,11700000.0,0,1,0,0,0,0,0,0,0
Flood - Nowra Flood,New South Wales,Nowra,Flood,1860-02-11,1860-02-25,1860,700000.0,1,0,0,0,0,0,0,0,0
Industrial - Longford Gas explision,Victoria,Bass Strait,Industrial,1998-09-25,1998-10-14,1998,23000000.0,0,1,0,0,0,0,0,0,0
Industrial - Longford Gas explision,Victoria,Mount Gambier (VIC),Industrial,1998-09-25,1998-10-14,1998,23000000.0,0,1,0,0,0,0,0,0,0
Industrial - Longford Gas explision,Victoria,Wilsons Promontory,Industrial,1998-09-25,1998-10-14,1998,23000000.0,0,1,0,0,0,0,0,0,0
Industrial - Longford Gas explision,Victoria,Melbourne,Industrial,1998-09-25,1998-10-14,1998,23000000.0,0,1,0,0,0,0,0,0,0
Industrial - Bulli Mine,New South Wales,Wollongong,Industrial,1887-03-23,1887-03-23,1887,700000.0,1,0,0,0,0,0,0,0,0
Industrial - Dudley Mine,New South Wales,Sydney,Industrial,1898-03-21,1898-03-21,1898,700000.0,1,0,0,0,0,0,0,0,0
Industrial - Broken Hill Mine Collapse,New South Wales,Broken Hill,Industrial,1895-07-18,1895-07-18,1895,700000.0,1,0,0,0,0,0,0,0,0
Industrial - Creswick Gold Mine,Victoria,Melbourne,Industrial,1882-12-12,1882-12-12,1882,700000.0,0,1,0,0,0,0,0,0,0
"Swanston Street wall collapse, 2013",Victoria,Melbourne,Industrial,2013-03-29,,2013,89000000.0,0,1,0,0,0,0,0,0,0
"Industrial – Pike River Mine, New Zealand",Offshore,Outside Territorial Waters,Industrial,2010-11-19,2010-11-26,2010,46700000.0,0,0,0,0,0,0,0,0,1
Industrial - Savage River Mine Fire,Tasmania,Savage River,Industrial,2006-06-21,,2006,10000000.0,0,0,0,0,1,0,0,0,0
Industrial - Gladstone Factory Explosion,South Australia,Whyalla,Industrial,2006-05-09,2006-05-09,2006,22000000.0,0,0,0,0,0,1,0,0,0
Industrial - Beaconsfield Mine,Tasmania,Launceston,Industrial,2006-04-25,2006-05-09,2006,22000000.0,0,0,0,0,1,0,0,0,0
Industrial - Bellevue Hazardous Waste Fire,Western Australia,Perth,Industrial,2001-02-15,2001-02-17,2001,5600000.0,0,0,0,0,0,0,0,1,0
Industrial -Kalgoorlie Mine Collapse,Western Australia,Kalgoorlie,Industrial,2000-06-26,2000-06-26,2000,12000000.0,0,0,0,0,0,0,0,1,0
Industrial - Hunter Valley Silo Explosion,New South Wales,Sydney,Industrial,1999-12-06,1999-12-06,1999,40000000.0,1,0,0,0,0,0,0,0,0
Industrial - North Parkes Mine,New South Wales,Dubbo,Industrial,1999-11-24,1999-11-24,1999,40000000.0,1,0,0,0,0,0,0,0,0
Industrial- Hazardous material incident,Victoria,Melbourne,Industrial,2005-02-21,2005-02-21,2005,53200000.0,0,1,0,0,0,0,0,0,0
Industrial - Structure Collapse,South Australia,Adelaide,Industrial,1996-08-06,1996-08-06,1996,15000000.0,0,0,0,0,0,1,0,0,0
Industrial - Moura Mine,Queensland,Taroom,Industrial,1994-08-07,1994-08-07,1994,37000000.0,0,0,1,0,0,0,0,0,0
