Event,Zone,Region,Category,Start Date,End Date,Year,Insured Cost,NSW,VIC,QLD,ACT,TAS,SA,NT,WA,Waters
Severe Storm - South Eastern Australia,"New South Wales , Australian Capital Territory , Victoria , Tasmania",Wilsons Promontory,Storm,2003-08-24,2003-08-24,2003,25000000.0,1,1,0,1,1,0,0,0,0
Severe Storm - South Eastern Australia,"New South Wales , Australian Capital Territory , Victoria , Tasmania",Hobart,Storm,2003-08-24,2003-08-24,2003,25000000.0,1,1,0,1,1,0,0,0,0
Severe Storm - South Eastern Australia,"New South Wales , Australian Capital Territory , Victoria , Tasmania",Melbourne,Storm,2003-08-24,2003-08-24,2003,25000000.0,1,1,0,1,1,0,0,0,0
Severe Storm - Sydney,New South Wales,Sydney,Storm,2002-02-16,2002-02-16,2002,10000000.0,1,0,0,0,0,0,0,0,0
"Severe Storm - Grafton, Kingscliff and Lismore",New South Wales,Lismore (NSW),Storm,2002-01-16,2002-01-16,2002,10000000.0,1,0,0,0,0,0,0,0,0
"Severe Storm - Sydney, Hunter Valley and Northern Regions",New South Wales,Sydney,Storm,2001-12-03,2001-12-03,2001,30000000.0,1,0,0,0,0,0,0,0,0
"Severe Storm - Sydney, Hunter Valley and Northern Regions",New South Wales,Tamworth,Storm,2001-12-03,2001-12-03,2001,30000000.0,1,0,0,0,0,0,0,0,0
"Severe Storm - Sydney, Hunter Valley and Northern Regions",New South Wales,Wollongong,Storm,2001-12-03,2001-12-03,2001,30000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Eastern New South Wales,New South Wales,Sydney,Storm,2001-11-18,2001-11-21,2001,30000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Casino and Region,New South Wales,Lismore (NSW),Storm,2001-01-17,2001-01-17,2001,35000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Sydney and Region,New South Wales,Sydney,Storm,2001-01-15,2001-01-15,2001,12000000.0,1,0,0,0,0,0,0,0,0
Severe Storm - Sydney and Region,New South Wales,Wollongong,Storm,2001-01-15,2001-01-15,2001,12000000.0,1,0,0,0,0,0,0,0,0
Storm - Melbourne,Victoria,Melbourne,Storm,2020-08-27,2020-08-27,2020,926500000.0,0,1,0,0,0,0,0,0,0
